allForces,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Human,287.4289965,287.4337246,287.4738243,287.4546951,287.4178042,287.4043601,287.3924568,287.4083566,287.4434009,287.3719666,287.4054429,287.4036056,287.4339216,287.3967975,287.4056492,287.4243178,287.4532228,287.4233956,287.4294246,287.437574,287.4339047,287.4692876,287.4374587,287.4238417,287.4552764,287.4807095,287.4729323,287.5075532,287.4856772,287.5141371,287.5001592,287.5475028,287.4628436,287.4934325,287.5627285,287.5624871,287.5948898,287.5842068,287.5285873,287.528623,287.5782467,287.5472925,287.5503767,287.5696669,287.5596363,287.5046744,287.5148442,287.4581733,287.4952422,287.523043,287.5391027,287.5332376,287.5347614,287.5596897,287.5188075,287.498602,287.4661225,287.5501427,287.5468979,287.5780185,287.5475163,287.5845329,287.5186058,287.5346692,287.5755026,287.549005,287.5626564,287.5206346,287.5591173,287.600468,287.5839158,287.5845893,287.5969932,287.6236089,287.5971979,287.6580557,287.6561494,287.6158837,287.6339239,287.6522901,287.6155938,287.6376513,287.6456267,287.6331972,287.6358337,287.6464158,287.6533078,287.6788828,287.6435501,287.6253527,287.6607148,287.7147662,287.6633267,287.6008984,287.6383515,287.6584807,287.7295251,287.7295871,287.6878887,287.6474153,287.6862987,287.6865421,287.6811048,287.666819,287.6716166,287.6434857,287.6188106,287.6303623,287.6578865,287.6803535,287.6930601,287.7365461,287.6865781,287.71681,287.722324,287.7553957,287.7019982,287.7035489,287.7545544,287.8198722,287.8019093,287.8385153,287.8339504,287.8148919,287.8401567,287.8379436,287.8496261,287.8825329,287.8592742,287.8930251,287.9618093,287.9250052,287.9028568,288.0055375,288.0039893,288.0179084,287.9938694,288.0252181,288.0808102,288.0528245,288.0917248,288.0947402,288.0890314,288.0914102,288.0829351,288.1275675,288.1428108,288.1523326,288.1920068,288.2061297,288.1832639,288.1842387,288.2186731,288.2597677,288.2694792,288.3035028
Natural,287.446649,287.4602006,287.5306418,287.5197317,287.5078102,287.4995332,287.4657113,287.2779968,287.3185759,287.3466971,287.4228803,287.4125727,287.4001198,287.4565443,287.4429462,287.4242749,287.458439,287.4430794,287.48414,287.4935681,287.4660352,287.4951196,287.5170865,287.4868774,287.5436226,287.4795913,287.4459979,287.4587084,287.4620635,287.4956814,287.4622098,287.5020335,287.4927501,287.3856841,287.0774308,287.1115452,287.209626,287.2163033,287.2425483,287.2676528,287.2433992,287.2687863,287.301865,287.3858481,287.3830991,287.3800027,287.4053392,287.4054792,287.3907129,287.3773873,287.4145923,287.447039,287.4576357,287.2407727,287.3059001,287.3786022,287.3524348,287.4018859,287.3832958,287.4149562,287.4581868,287.5211353,287.4110515,287.3422897,287.4335108,287.4883328,287.5162813,287.5099767,287.4957395,287.4832356,287.4410209,287.433168,287.430951,287.4531725,287.4608507,287.544058,287.4995656,287.4595292,287.4340586,287.4452533,287.4707868,287.411942,287.3969173,287.4706555,287.4819305,287.4948408,287.455614,287.4857702,287.5207691,287.5181956,287.4816397,287.4865008,287.4408586,287.4575519,287.5220322,287.5206787,287.529023,287.5499253,287.5193573,287.5440095,287.5456349,287.524648,287.4732155,287.4831993,287.4968911,287.4733246,287.5309824,287.5172633,287.5071096,287.503974,287.5475974,287.5281507,287.5153372,287.4689965,287.2766059,287.2995628,287.3660732,287.4317186,287.4097432,287.4190145,287.4172566,287.4277314,287.4921121,287.4997349,287.5027196,287.4459978,287.3931986,287.4276216,287.4613565,287.4868382,287.4838374,287.5321986,287.3984541,287.1503104,287.259741,287.3529799,287.3511549,287.4363408,287.4511744,287.4662809,287.4838404,287.3902892,287.0786197,287.174787,287.2785232,287.3893097,287.4243758,287.465982,287.4670124,287.5157308,287.5169631,287.5266136,287.5453743,287.5342294,287.5597677,287.6049249
Anthropogenic_tropospheric_aerosol,287.4258914,287.4464021,287.498657,287.4173252,287.4245418,287.4707822,287.4349405,287.4771479,287.4708739,287.4413521,287.4055949,287.4077027,287.496557,287.3803529,287.415572,287.4280714,287.4243787,287.4723748,287.4443488,287.4025764,287.3957513,287.4386872,287.4199873,287.4264966,287.4488503,287.3938974,287.410966,287.449853,287.4469504,287.4091184,287.3627998,287.4274853,287.4203781,287.4490323,287.3731199,287.3849582,287.4212549,287.3858481,287.3503982,287.3751787,287.4231952,287.4288118,287.3815138,287.4378157,287.4166633,287.3949864,287.4084705,287.4090943,287.3944974,287.4410636,287.4158993,287.394627,287.4172542,287.434611,287.3962756,287.4231033,287.4127955,287.3923773,287.3877516,287.4214689,287.4206853,287.4291513,287.4364659,287.4257954,287.4385581,287.4440539,287.4010436,287.4332333,287.3951905,287.3991544,287.5011687,287.3741829,287.4200676,287.410541,287.4353478,287.4136443,287.382302,287.3965018,287.3774463,287.4131516,287.3680361,287.3902204,287.3449866,287.3623864,287.3922999,287.357572,287.3466801,287.3413609,287.3763678,287.374322,287.3679346,287.3464693,287.3627162,287.3663196,287.3409537,287.3461143,287.3472558,287.3658914,287.3230676,287.3098148,287.3136158,287.3008857,287.3076014,287.2979699,287.2532642,287.2804631,287.2597872,287.2592024,287.2487859,287.2473728,287.2474773,287.2531964,287.2631389,287.2533524,287.2340127,287.2237695,287.2266387,287.2155408,287.2201303,287.2369953,287.2159382,287.2225795,287.2109454,287.1836577,287.2128942,287.174464,287.1358106,287.1760558,287.1845512,287.0962194,287.0784533,287.0403164,287.1061121,287.1035816,287.042214,287.0811043,287.0540731,287.0485673,287.0367847,287.0401334,287.080002,287.0445867,287.0618975,287.0209759,287.005113,287.0459703,287.0142687,287.0244169,287.0147299,287.0383143,287.0232934,286.9687541,287.022696,287.0335477,287.0208716,287.0003263
Greenhouse_gases,287.4170002,287.3992596,287.4156057,287.4332169,287.4205891,287.412502,287.393908,287.4186057,287.4020922,287.3997061,287.4377288,287.4373603,287.3899216,287.4238094,287.4178992,287.4023049,287.4106199,287.4122274,287.4005293,287.4354144,287.4598339,287.4459244,287.449245,287.4132561,287.4852301,287.4902977,287.4416612,287.4415443,287.4572961,287.4595505,287.505983,287.4923243,287.4528977,287.5001915,287.4879753,287.4754009,287.5057988,287.5475424,287.5115341,287.4670058,287.4514486,287.4996694,287.5240529,287.4998275,287.5355189,287.5520953,287.5387063,287.5193399,287.4948272,287.5373376,287.5366455,287.5066288,287.5944534,287.5199668,287.5701887,287.6098152,287.5636421,287.6035437,287.5534342,287.5369455,287.5650785,287.5716891,287.5975713,287.64137,287.5871849,287.6058807,287.5710454,287.5705778,287.6050411,287.6359861,287.5868161,287.6126045,287.6225363,287.641797,287.6231534,287.6496248,287.6816287,287.6574602,287.6468669,287.7514568,287.6722545,287.6702896,287.7284118,287.7579792,287.7188846,287.7027773,287.7457337,287.733939,287.7582601,287.7277403,287.7202488,287.7653714,287.770814,287.7921144,287.7785111,287.7546275,287.8033836,287.8626309,287.7965231,287.8114779,287.7726324,287.7522393,287.8127756,287.7843461,287.8325752,287.777115,287.7832513,287.8595198,287.8413921,287.8208761,287.8952546,287.875407,287.9115206,287.9114405,287.9345519,287.8807595,287.8907876,287.9280859,287.9749804,288.022858,288.0268006,288.0893587,288.1141236,288.090202,288.1008843,288.0878628,288.1317045,288.1351496,288.1372031,288.1970056,288.1588549,288.1993865,288.2214871,288.2277915,288.2275994,288.2743106,288.2864421,288.2810082,288.3642119,288.3325347,288.367806,288.3509183,288.4028484,288.4312142,288.4630437,288.4576172,288.4376288,288.4711317,288.4790263,288.4686619,288.5097935,288.552342,288.594759,288.5950259,288.6154458,288.652028
Land_use,287.4503501,287.3944527,287.48275,287.5098935,287.4457737,287.4550514,287.458382,287.420343,287.3966323,287.4414563,287.4144425,287.4338996,287.4287608,287.4451978,287.5133854,287.4356595,287.4870183,287.4605629,287.4091364,287.4342172,287.4395401,287.4547036,287.5065978,287.4761073,287.4466334,287.4304168,287.4241695,287.4575353,287.4399691,287.4568025,287.4574722,287.4045563,287.4380768,287.4576053,287.4402696,287.4892503,287.4781051,287.479963,287.4768234,287.4757502,287.4211399,287.4296149,287.4459562,287.4635994,287.4302934,287.4370861,287.4305169,287.4171588,287.3814292,287.3884351,287.4233069,287.3940688,287.4167919,287.4400723,287.4303489,287.4440334,287.4648953,287.4880421,287.4719845,287.4725676,287.4510028,287.4101444,287.439047,287.4472048,287.4646972,287.4287353,287.463596,287.5116071,287.5025358,287.4544852,287.4907082,287.4218831,287.4264909,287.4549648,287.4567947,287.4309023,287.4748968,287.3623214,287.4492148,287.4645788,287.3989277,287.4347685,287.4310662,287.4728952,287.4737919,287.4137398,287.4329428,287.3832726,287.4421876,287.4805244,287.4547016,287.4275504,287.3914926,287.4351557,287.4072791,287.4039455,287.412383,287.4397017,287.398029,287.3855194,287.39237,287.3984614,287.4316038,287.3914317,287.4017455,287.3907693,287.3444578,287.3938202,287.3907435,287.4222786,287.4019427,287.3965416,287.3765375,287.3747834,287.3858697,287.3277101,287.3337829,287.3523557,287.3665638,287.3656567,287.3497248,287.3319248,287.3450363,287.3247085,287.3173477,287.394407,287.4039551,287.3367413,287.3734823,287.385947,287.3422343,287.3755429,287.3603524,287.308678,287.2783794,287.3063045,287.3429855,287.3107762,287.3744629,287.3807977,287.3565907,287.3512718,287.3898665,287.3591419,287.3459319,287.3463444,287.3615976,287.3397592,287.3184324,287.3040134,287.3329341,287.3236659,287.3618507,287.3459896,287.3206287,287.3426531
Orbital_changes,287.4429368,287.4508249,287.4531176,287.4682051,287.4865902,287.4525694,287.4860007,287.4533903,287.4629028,287.4633138,287.4306843,287.4587689,287.4470393,287.4788822,287.4212593,287.4342195,287.4279035,287.4100364,287.4315068,287.4345162,287.4222496,287.4130773,287.4995834,287.4412795,287.4257174,287.4622881,287.4557872,287.4377139,287.4336779,287.443424,287.4333069,287.4071775,287.4248835,287.4234407,287.4441164,287.4176693,287.400932,287.4458775,287.451626,287.3916536,287.4142017,287.4595252,287.4213748,287.4600775,287.4470827,287.4580911,287.4647302,287.446069,287.4657003,287.4964694,287.4396992,287.4974173,287.4936351,287.4956793,287.4447351,287.4962364,287.4446574,287.4587868,287.4465946,287.4392523,287.4650303,287.457249,287.413501,287.4610394,287.4425312,287.4320638,287.4171048,287.4233082,287.4209847,287.4509707,287.4079416,287.4004762,287.4014562,287.3694842,287.4088293,287.395236,287.4125263,287.4520886,287.4264108,287.4235211,287.415922,287.4435738,287.4035765,287.4312632,287.4421387,287.3981925,287.4305631,287.4643587,287.4288838,287.4244349,287.4486003,287.456777,287.4571004,287.440184,287.411602,287.4219855,287.4004995,287.37091,287.4140521,287.4581825,287.4146151,287.3890862,287.4489821,287.4446352,287.414468,287.4079225,287.4123623,287.427053,287.4235285,287.3831336,287.4312319,287.4210464,287.4136734,287.4538615,287.4798312,287.4623403,287.4735066,287.4817509,287.4385121,287.4144851,287.4199146,287.4510599,287.4669731,287.4396582,287.4546652,287.4842113,287.4663942,287.4468893,287.4545815,287.4705154,287.4376787,287.4771139,287.5317547,287.5169203,287.4935899,287.5139327,287.4923485,287.4636193,287.412059,287.4268094,287.4593997,287.3974775,287.4710274,287.4690342,287.4113992,287.4309002,287.4973616,287.3827286,287.3731601,287.43022,287.4377207,287.3895764,287.399834,287.4606982,287.4196394,287.3833692
Ozone,287.4506446,287.4076458,287.4474671,287.4753664,287.4541918,287.4552146,287.4649964,287.4454183,287.4465992,287.4804298,287.4676012,287.4421444,287.43183,287.4900775,287.4582064,287.4665847,287.4677318,287.4087665,287.4037546,287.441308,287.4963321,287.4551828,287.4133534,287.4125093,287.4699333,287.4747987,287.3909556,287.4318444,287.4015068,287.4306261,287.4003873,287.395704,287.3864733,287.3990287,287.3959911,287.4131911,287.4053304,287.3931092,287.4222535,287.4231502,287.3957826,287.4033721,287.4204715,287.4296177,287.4609353,287.4401354,287.4262905,287.4154651,287.4381435,287.4084819,287.3965473,287.4084875,287.4337692,287.4394314,287.4510012,287.4618312,287.4640454,287.4716545,287.4657581,287.4594318,287.4284855,287.4505526,287.464509,287.4458745,287.4383287,287.4625411,287.4985591,287.487653,287.4832874,287.4154157,287.4085155,287.467757,287.4269689,287.4983663,287.4459389,287.45482,287.4416288,287.4622659,287.4615777,287.4106504,287.4423865,287.4529123,287.4617221,287.4627856,287.4811672,287.4576933,287.4431479,287.4820607,287.5029443,287.4571873,287.4414317,287.4839535,287.4712218,287.4983065,287.5199034,287.5222918,287.5018055,287.5114681,287.4776755,287.5252017,287.4966536,287.4711649,287.4655666,287.504363,287.4632245,287.4659635,287.4979947,287.5343971,287.5273778,287.5062219,287.4982977,287.5241741,287.5154749,287.4756184,287.4856719,287.5103521,287.5013429,287.5138768,287.5447355,287.5180108,287.4865681,287.5185431,287.5153729,287.5274294,287.4957358,287.4812365,287.5071501,287.5161111,287.4711512,287.503647,287.566361,287.5297099,287.5773597,287.5665396,287.5353765,287.5467294,287.5215539,287.5275727,287.563201,287.5188291,287.519125,287.5427285,287.5733207,287.5608127,287.5768596,287.5707908,287.594765,287.5197193,287.5305012,287.5492325,287.50614,287.5182456,287.5455417,287.5036283,287.5003899,287.5379015
Solar,287.4503501,287.434744,287.4663089,287.4552964,287.4362326,287.427143,287.3992434,287.4698101,287.4526428,287.4673102,287.4480732,287.4731085,287.4457509,287.4100642,287.4116019,287.418473,287.4269237,287.3824624,287.3754297,287.3894422,287.4381522,287.4040917,287.4241053,287.4129019,287.438179,287.4366761,287.4081579,287.3994835,287.3630558,287.403483,287.3992015,287.4171823,287.4478705,287.4353421,287.474246,287.5321225,287.4914971,287.4492426,287.4410248,287.449295,287.4238028,287.438238,287.4418983,287.4496493,287.4736779,287.4898234,287.4665406,287.4513152,287.4464531,287.4733029,287.428335,287.4396271,287.4457917,287.4387322,287.4332924,287.4409517,287.3900174,287.4198167,287.4294235,287.4341641,287.4598219,287.4564672,287.4116972,287.4148092,287.4313515,287.430296,287.398982,287.4304293,287.4533388,287.4708508,287.4571683,287.4194356,287.4330756,287.4914773,287.4524141,287.4487442,287.4801923,287.4070887,287.4541014,287.429788,287.4516445,287.4533643,287.4257857,287.4400408,287.4148736,287.453578,287.4794191,287.4754978,287.4472417,287.4380366,287.4598441,287.4442166,287.4276263,287.461975,287.4300476,287.3966258,287.4200456,287.4613931,287.4386904,287.4683036,287.5039012,287.4485637,287.4971468,287.4862958,287.4370106,287.4655635,287.5578732,287.5428633,287.4926869,287.4763536,287.4567407,287.5049612,287.5054334,287.5128934,287.470012,287.4705337,287.4756236,287.4506458,287.4994772,287.4810077,287.4725906,287.4700735,287.4827903,287.4712302,287.4470125,287.4562668,287.4409922,287.4954448,287.4422471,287.4486515,287.4602781,287.4607538,287.4510341,287.4779475,287.4997683,287.4954021,287.45972,287.4876589,287.5025819,287.4722325,287.4663859,287.442134,287.4875037,287.4860462,287.4641064,287.467234,287.5075309,287.4487493,287.4922626,287.5028716,287.4711482,287.4725209,287.4771417,287.4799193,287.4913812,287.4531571
Volcanic,287.446649,287.4582593,287.5605417,287.5342994,287.5524403,287.4809462,287.4404668,287.3593959,287.362504,287.4367925,287.4643309,287.5097177,287.4814836,287.4279495,287.4795705,287.499936,287.4904884,287.4958535,287.5248268,287.510094,287.4951591,287.4630058,287.4884331,287.5030527,287.449862,287.5016618,287.4962677,287.5054279,287.4541312,287.4052495,287.4407844,287.4708549,287.4680167,287.4026555,287.0703867,287.0698061,287.1948543,287.2909609,287.3332118,287.3422311,287.3737467,287.3252184,287.3305418,287.3806486,287.4110737,287.4797239,287.4689413,287.4761809,287.478458,287.4361611,287.5296885,287.495535,287.4508835,287.2721609,287.3280442,287.3900694,287.4220155,287.4070452,287.411678,287.4786854,287.4608861,287.4940866,287.5026972,287.4100575,287.4210102,287.4683032,287.5038007,287.449649,287.4709143,287.4508281,287.4365224,287.4989747,287.5097796,287.535803,287.4627236,287.4992274,287.4893116,287.4782899,287.5213901,287.48069,287.4963328,287.4462907,287.4268653,287.4342841,287.492369,287.4526818,287.4413076,287.4619405,287.4479769,287.443666,287.5340079,287.4623586,287.4432462,287.4955734,287.4603542,287.4505651,287.4418253,287.4576135,287.4751733,287.4988115,287.5245577,287.4810169,287.4485591,287.5073933,287.5229575,287.4917693,287.5109203,287.5179569,287.5546869,287.5481768,287.4953057,287.423349,287.4289394,287.3576996,287.2599275,287.270471,287.2681479,287.3331242,287.3549888,287.3616277,287.3484137,287.4565434,287.4707097,287.4904851,287.4588154,287.4193588,287.3917549,287.4772624,287.4562295,287.4793446,287.4749776,287.443323,287.3757016,287.1672563,287.2366915,287.341913,287.4037387,287.4132983,287.4339934,287.4513284,287.5026402,287.4047011,287.092281,287.1643661,287.2766016,287.3923827,287.4715875,287.4933563,287.5280557,287.5232208,287.4976285,287.499175,287.5044337,287.5152206,287.5340057,287.5377444
