year,emissions
07-1991,356.47
08-1991,354.37
09-1991,352.6
10-1991,352.52
11-1991,353.82
12-1991,355.12
01-1992,356.08
02-1992,356.82
03-1992,357.67
04-1992,358.88
05-1992,359.44
06-1992,358.72
07-1992,357.16
08-1992,355.02
09-1992,353.24
10-1992,353.15
11-1992,354.42
12-1992,355.7
01-1993,356.64
02-1993,357.37
03-1993,358.19
04-1993,359.41
05-1993,360.03
06-1993,359.37
07-1993,357.87
08-1993,355.81
09-1993,354.1
10-1993,354.1
11-1993,355.5
12-1993,356.9
01-1994,357.96
02-1994,358.81
03-1994,359.72
04-1994,361.03
05-1994,361.73
06-1994,361.14
07-1994,359.71
08-1994,357.7
09-1994,356.04
10-1994,356.07
11-1994,357.5
12-1994,358.93
01-1995,360.01
02-1995,360.87
03-1995,361.79
04-1995,363.11
05-1995,363.81
06-1995,363.23
07-1995,361.78
08-1995,359.75
09-1995,358.07
10-1995,358.08
11-1995,359.5
12-1995,360.9
01-1996,361.96
02-1996,362.78
03-1996,363.7
04-1996,364.98
05-1996,365.61
06-1996,364.95
07-1996,363.43
08-1996,361.33
09-1996,359.58
10-1996,359.53
11-1996,360.86
12-1996,362.18
01-1997,363.17
02-1997,363.93
03-1997,364.78
04-1997,366.05
05-1997,366.7
06-1997,366.07
07-1997,364.61
08-1997,362.58
09-1997,360.92
10-1997,361
11-1997,362.5
12-1997,364.02
01-1998,365.2
02-1998,366.15
03-1998,367.17
04-1998,368.62
05-1998,369.42
06-1998,368.93
07-1998,367.56
08-1998,365.59
09-1998,363.94
10-1998,363.99
11-1998,365.43
12-1998,366.84
01-1999,367.88
02-1999,368.68
03-1999,369.53
04-1999,370.78
05-1999,371.39
06-1999,370.69
07-1999,369.14
08-1999,366.99
09-1999,365.19
10-1999,365.13
11-1999,366.48
12-1999,367.83
01-2000,368.84
02-2000,369.61
03-2000,370.51
04-2000,371.79
05-2000,372.42
06-2000,371.77
07-2000,370.28
08-2000,368.2
09-2000,366.49
10-2000,366.51
11-2000,367.92
12-2000,369.31
01-2001,370.36
02-2001,371.16
03-2001,372.04
04-2001,373.33
05-2001,374
06-2001,373.36
07-2001,371.86
08-2001,369.78
09-2001,368.05
10-2001,368.06
11-2001,369.5
12-2001,370.93
01-2002,372.02
02-2002,372.88
03-2002,373.82
04-2002,375.18
05-2002,375.92
06-2002,375.37
07-2002,373.94
08-2002,371.94
09-2002,370.28
10-2002,370.37
11-2002,371.88
12-2002,373.38
01-2003,374.53
02-2003,375.44
03-2003,376.41
04-2003,377.8
05-2003,378.56
06-2003,377.99
07-2003,376.55
08-2003,374.49
09-2003,372.78
10-2003,372.8
11-2003,374.24
12-2003,375.67
01-2004,376.74
02-2004,377.56
03-2004,378.49
04-2004,379.79
05-2004,380.43
06-2004,379.75
07-2004,378.21
08-2004,376.1
09-2004,374.37
10-2004,374.41
11-2004,375.88
12-2004,377.35
01-2005,378.48
02-2005,379.39
03-2005,380.38
04-2005,381.79
05-2005,382.56
06-2005,382
07-2005,380.56
08-2005,378.52
09-2005,376.82
10-2005,376.87
11-2005,378.36
12-2005,379.83
01-2006,380.95
02-2006,381.81
03-2006,382.74
04-2006,384.09
05-2006,384.79
06-2006,384.16
07-2006,382.64
08-2006,380.52
09-2006,378.76
10-2006,378.76
11-2006,380.19
12-2006,381.63
01-2007,382.72
02-2007,383.57
03-2007,384.5
04-2007,385.86
05-2007,386.58
06-2007,385.97
07-2007,384.46
08-2007,382.36
09-2007,380.61
10-2007,380.63
11-2007,382.08
12-2007,383.52
01-2008,384.61
02-2008,385.45
03-2008,386.41
04-2008,387.76
05-2008,388.45
06-2008,387.82
07-2008,386.31
09-2008,384.21
10-2008,382.47
11-2008,382.5
12-2008,383.96
01-2009,385.4
02-2009,386.49
03-2009,387.35
04-2009,388.29
05-2009,389.66
06-2009,390.38
07-2009,389.78
08-2009,388.29
09-2009,386.21
10-2009,384.49
11-2009,384.56
12-2009,386.09
01-2010,387.61
02-2010,388.79
03-2010,389.72
04-2010,390.71
05-2010,392.13
06-2010,392.88
07-2010,392.28
08-2010,390.78
09-2010,388.66
10-2010,386.89
11-2010,386.89
12-2010,388.35
01-2011,389.79
02-2011,390.87
03-2011,391.71
04-2011,392.62
05-2011,393.96
06-2011,394.67
07-2011,394.04
08-2011,392.52
09-2011,390.4
10-2011,388.64
11-2011,388.67
12-2011,390.17
01-2012,391.66
02-2012,392.79
03-2012,393.69
04-2012,394.7
05-2012,396.11
06-2012,396.85
07-2012,396.26
08-2012,394.79
09-2012,392.72
10-2012,391.04
11-2012,391.15
12-2012,392.71
01-2013,394.26
02-2013,395.44
03-2013,396.38
04-2013,397.38
05-2013,398.81
06-2013,399.58
07-2013,398.98
08-2013,397.48
09-2013,395.36
10-2013,393.59
11-2013,393.62
12-2013,395.12
01-2014,396.61
02-2014,397.74
03-2014,398.62
04-2014,399.58
05-2014,400.97
06-2014,401.7
06-2014,401.07
07-2014,399.52
08-2014,397.37
09-2014,395.57
10-2014,395.59
11-2014,397.09
12-2014,398.58
01-2015,399.72
02-2015,400.62
03-2015,401.6
04-2015,403.02
05-2015,403.8
06-2015,403.22
07-2015,401.75
08-2015,399.69
09-2015,398.02
10-2015,398.17
11-2015,399.82
12-2015,401.47
01-2016,402.77
02-2016,403.82
